NAME : egl-g1-B
VERTICES : 255
DEPOT : 1
REQUIRED EDGES : 347
NON-REQUIRED EDGES : 28
VEHICLES : 25
CAPACITY : 22800
TOTAL COST OF REQUIRED EDGES : 553696
NODES  COST  DEMAND
1 5 1860 1860
5 6 556 556
6 7 821 821
7 8 606 606
8 9 2195 2195
9 10 282 282
10 11 1834 1834
11 12 1109 1109
12 13 591 591
13 14 3357 3357
14 15 1922 1922
5 16 390 390
16 17 221 221
17 18 318 318
6 18 429 429
18 19 717 717
7 19 503 503
16 20 960 960
20 21 669 669
19 21 460 460
20 22 519 519
22 23 463 463
21 23 985 985
22 24 528 528
23 24 479 479
24 25 1561 1561
21 26 681 681
8 26 1063 1063
7 255 991 991
26 27 969 969
23 28 1471 1471
27 28 590 590
27 29 720 720
28 29 819 819
9 29 794 794
9 255 637 637
10 30 498 498
29 31 559 559
31 30 383 383
31 32 1671 1671
32 33 420 420
30 33 1373 1373
33 11 130 130
32 34 546 546
34 35 510 510
35 36 363 363
36 33 424 424
36 12 673 673
35 37 894 894
37 13 226 226
38 39 2022 2022
39 40 747 747
39 41 2431 2431
41 34 2533 2533
39 42 3644 3644
42 43 605 605
41 43 3742 3742
43 44 666 666
37 44 5067 5067
14 44 3407 3407
15 45 1414 1414
45 46 2781 2781
46 47 844 844
46 48 774 774
48 49 553 553
46 49 1231 1231
49 50 1041 1041
50 51 1486 1486
51 52 1190 1190
52 53 1254 1254
53 54 468 468
54 55 230 230
55 42 1871 1871
55 53 662 662
44 54 1559 1559
53 56 545 545
56 57 341 341
57 58 422 422
56 58 332 332
58 59 324 324
59 52 502 502
59 60 358 358
51 60 1076 1076
57 61 368 368
61 62 376 376
62 63 1669 1669
60 64 1123 1123
64 65 520 520
65 66 2332 2332
66 4 2562 2562
4 50 2191 2191
4 48 874 874
68 69 1781 1781
69 70 1101 1101
69 71 563 563
70 71 984 984
70 63 2931 2931
71 72 1613 1613
72 73 2954 2954
73 74 577 577
62 74 3309 3309
